,sentence,entity,score
0,大智慧通讯社通过详细的数据和资料梳理，还原这一天市场动向,['大智慧'],[0.0]
1,判决书显示，2012年底，正拓公司对民生银行有7000余万元的逾期贷款无法归还,['民生银行'],[-1.0]
2,11月29日，江南嘉捷尚未打开一字板，华泰荣超营业部当天“吃货”1.04亿元，该股次日继续一字涨停,['江南嘉捷'],[1.0]
3,受此影响，光大证券(SH601788)午后开盘紧急停牌,['光大证券'],[-1.0]
4,华昌达3月28日披露，颜华债务问题对公司产生了一定的负面影响，但目前公司各类生产经营活动稳健运营，预计2017年集团营业收入超过29亿元，同比增长超过32%,['华昌达'],[1.0]
5,“经过20多年发展，大丰实业已经占据国内文体设施中高端市场70%以上份额，在行业内遥遥领先,['大丰实业'],[1.0]
6,华昌达2018年3月25日发布的公告显示，公司实控人颜华或/及罗慧总共负债近30亿元，目前颜华仍在国外寻求医疗服务，公司与其可正常联系，如无法正常联系到他，将及时披露公告,['华昌达'],[-1.0]
7,在房地产主营业务方面，恒大去年以来大举收购，先后买入包括牌友张松桥、华人置业主席刘銮雄，以及新世界主席郑裕彤的多个位于内地的房地产项目,['新世界'],[0.0]
8,乐视网涨停的背后，三大数字密码，将公司股价的强势之态彰显无疑,['乐视网'],[1.0]
9,与此同时，中信证券拟每10股派发现金分红4元(含税)，同比增长14.3%，现金分红总额达48.5亿元，排名也暂居第一,['中信证券'],[1.0]
10,万科随即否认了股东名册泄密的可能,['万科'],[-1.0]
11,大丰实业承揽的投资7.76亿元的宁海文化综合体和投资8亿元的赤峰大剧院PPP项目也在有序推进,['大丰实业'],[1.0]
12,此外，在万科A复牌后，宝能系大举购买万科，万科方面多次发声，质疑其资金来源以及安全性，要求监管方面介入,['万科'],[-1.0]
13,　　为什么乐视网股价会表现如此强势呢,['乐视网'],[1.0]
14,而今日工业互联网四连板，早盘带动市场一波上行热情，但随着另外一个龙头用友网络的高开低走，分化已经开始显现，加之大数据等板块的走弱，早盘市场有冲高出货迹象，加之美股的再次大幅下跌，抑制了场外资金入市热情,['用友网络'],[-1.0]
15,昆仑健康险的股东背景不仅多而且极其分散，除了此次被监管点名的违规股东外，据21世纪经济报道记者查阅，其第二大股东嘉豪盛实业层层穿透之后背后还可见旗下巨人网络以及中国民生投资股份有限公司（中民投）等公司的身影,['巨人网络'],[0.0]
16,但是，乐视网昨天早盘高开高走一段之后，最终反而是跌了回来,['乐视网'],[-1.0]
17,此前的2月12日晚龙大肉食披露，“受近期股票市场下跌影响，公司股价波动较大”，公司控股股东龙大集团质押的股份已触及质押约定的平仓线，可能存在平仓风险,['龙大肉食'],[-1.0]
18,由于一旦平仓可能导致龙大集团对龙大肉食的控制权发生变动，龙大集团不敢轻视，一边通过筹措资金、追加保证金或提前回购等措施应对平仓风险，一边申请公司股票于2月13日开市起紧急停牌,['龙大肉食'],[1.0]
19,但对于高风险资产，申万宏源研究仍然认为将震荡向下,['申万宏源'],[0.0]
20,廊坊发展今年最高涨幅一度逼近2倍,['廊坊发展'],[1.0]
21,(300070) 订单储备充足　　碧水源是在水处理领域产业链布局最全的一家环保公司，自2007年起便利用PPP模式与核心膜技术产品大规模生产相结合，目前的污水处理项目几乎覆盖全国主要地区，99%以上的项目是膜项目,['碧水源'],[1.0]
22,例如，在石油成品油领域，新华联集团有限公司称，该公司虽然拥有商务部审批的9年油品进口指标，却一直没有拿到成品油的经营权；虽然准备收购核电产业的上游铀矿，却遇到了诸多的困难,['新华联'],[-1.0]
23,高颜值产品集中上市+动力电池拆分外供，助力业绩触底回升　　奥迪前设计总监艾格操刀设计的全新一代比亚迪车型有望在2018年集中上市助力汽车业务崛起,['比亚迪'],[0.0]
24,乐普医疗出资3亿参股　　批复文件显示，北京人寿本部设在北京市，注册资本为28.6亿元,['乐普医疗'],[0.0]
25,长城汽车在新能源战略方面路径清晰，作为中国首家进入国际氢能委员会的汽车企业，在加大氢能源研发投入的同时，更已广泛开展对动力电池、FCV技术、电驱动模块等方面的研发，轻量化、智能化是公司大力发展的方向,['长城汽车'],[1.0]
26,而数字政通控股的金迪公司，为我国仅有三家掌握管线非开挖探测修复的企业之一，可实现整体修复及局部修复,['数字政通'],[1.0]
27,2017年7月，万达电影停牌并发布重大事项停牌公告，称涉及影视类资产收购,['万达电影'],[0.0]
28,此外，必康股份、、、、、、等个股年内累计涨幅也较为显著,['必康股份'],[1.0]
29,在钢铁行业整体陷入低迷的背景下，山西证券股东太原钢铁持续大手笔减持，或是为了获得投资收益,['山西证券'],[0.0]
30,早在2016年1月30日，以尹卫东为首的管理层携买方团(以下简称内部买团)提出非约束性私有化要约，每股报价6.18美元；同年2月3日，未名医药参与的另一买方团(以下简称未名买团)提出竞争性的非约束性私有化要约，每股报价为7美元,['未名医药'],[0.0]
31,其中先导智能受到了机构的普遍看好，就表示，锂电池扩产高峰、自动化水平提升为锂电设备带来爆发式需求，公司定位高端产 品，有望享受行业爆发盛宴，成长为国内锂电设备龙头企业，同时布局工业4.0智能工厂领域，长期看好,['先导智能'],[1.0]
32,11月14日，证监会主席刘士余指出，坚决贯彻落实党的十九大报告对资本市场提出的目标任务，着力增强资本市场融入国家战略、服务实体经济能力，提高直接融资比重，促进多层次资本市场健康发展；11月17日，证监会副主席李超在第八届财新峰会上讲话时指出，着眼于提升直接融资比重，继续稳步推进股票发行制度改革，拓展多层次、多元化、互补型股权融资渠道；11月22日，证监会主席助理张慎峰在新浪金麒麟论坛上表示，下一步，大力发展直接融资，进一步完备市场融资功能，切实提升服务实体经济和国家战略的能力；同一天，中国证监会主席助理宣昌能在另一场合表示，证监会着力提高直接融资比重，促进多层次资本市场健康发展，保持改革定力，坚持新股发行常态化，坚持依法全面从严监管，把好资本市场准入关,['金麒麟'],[0]
33,证券时报记者了解到，航民股份继3月8号提价后，又于3月20日第二次上涨染费0.1~0.2元/米,['航民股份'],[-1.0]
34,市场普遍预计，一旦360借壳江南嘉捷的方案获得监管层通过，复牌后的江南嘉捷有望迎来多个涨停,['江南嘉捷'],[1.0]
35,然而，爆款电影《战狼2》却没能挽救北京文化低迷的股价，尽管该片上映后曾刺激北京文化股价大涨超过50%，但是北京文化目前的股价却是转型影视行业以来的新低,['北京文化'],[-1.0]
36,　　既然江南嘉捷现在还停着牌，正宗的概念股又买不到，还有没有其他的路数,['江南嘉捷'],[-1.0]
37,除了上面我们说的这家盈利能力超强的子公司，2014年，公司分别控股51%的子公司成都一汽富维延锋彼欧汽车外饰有限公司实现净利润7767万元；长春一汽富维东阳汽车塑料零部件有限公司实现净利润9239万元，同样是非常优秀,['一汽富维'],[1.0]
38,据公开信息显示，山东地矿原拟聘任的审计机构北京中证天通会计事务所（特殊普通合伙）（以下简称“中证天通”）由于年报审计任务繁重，近期无法按公司要求的时间派出足够的审计人员进行现场审计，为确保公司年报披露工作如期推进，经双方充分沟通，中证天通不再承接公司2017年度财务报表和内部控制审计委托,['山东地矿'],[0.0]
39,实际上，北京文化为《战狼2》所付出的精力、资金、资源，远比外界想象中更多,['北京文化'],[-1.0]
40,这一点从近期贵州茅台记录中也能得到些许验证,['贵州茅台'],[0.0]
41,根据酒鬼酒的三季报显示，今年前三个季度，酒鬼酒的总营收为17.48亿元，同比上涨124.81%，而净利润达到4.6亿元，同比增幅高达433.29%,['酒鬼酒'],[1.0]
42,　　作为武汉市内的零售三兄弟，和在“暴富”程度方面比汉商集团还要更胜一筹,['汉商集团'],[0.0]
43,天龙光电将2017年净利润预期从500万元-1000万元大幅上调为6500万元-7000万元,['天龙光电'],[1.0]
44,武汉中商则在业绩预告中称，由于武汉市旧城改造的需要，当地房屋征收管理办公室征收了该公司的资产，公司已经全额收到了4.4亿元的拆迁补偿款，因此盈利同比暴增175倍到180倍,['武汉中商'],[1.0]
45,市值蒸发55亿背后，北京文化“合理调节利润”　　尽管保底《战狼2》获得不菲的收入，却没能给北京文化的股价提升带来实质性的帮助,['北京文化'],[-1.0]
46,娱乐资本论统计，从去年年初到现在(2018年3月7日收盘)，北京文化的股价累计跌了将近40%，市值蒸发了55亿,['北京文化'],[-1.0]
